# Marine heatwave statistics for individual detected events at Muizenberg
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1977, 11, 3, 1977, 11, 6, 1977, 11, 7, 5, 3.462, 2.62, 13.1, 0.5377, 0.4423, 0.0008131, 1.574, 0.729, 3.645, 0.5418, 20.5, 19.6, 98.0, 0.5831, 1.834, 1.386
2, 1979, 5, 12, 1979, 5, 14, 1979, 5, 18, 7, 3.575, 2.987, 20.91, 0.3327, 0.4526, 0.000682, 1.479, 0.8961, 6.273, 0.3376, 18.0, 17.36, 121.5, 0.3499, 1.706, 1.429
3, 1979, 5, 22, 1979, 5, 22, 1979, 5, 27, 6, 3.018, 2.485, 14.91, 0.2916, 1.555, 0.0004337, 0.9952, 0.4898, 2.939, 0.2752, 17.0, 16.33, 98.0, 0.3727, 1.492, 1.244
4, 1980, 1, 17, 1980, 1, 20, 1980, 1, 21, 5, 3.514, 2.905, 14.52, 0.3747, 0.4377, 0.0006082, 1.69, 1.085, 5.426, 0.3742, 23.0, 22.4, 112.0, 0.3742, 1.927, 1.596
5, 1980, 7, 1, 1980, 7, 5, 1980, 7, 8, 8, 4.51, 2.938, 23.5, 0.7738, 0.7375, 0.001131, 2.599, 1.028, 8.227, 0.7735, 17.0, 15.44, 123.5, 0.768, 2.36, 1.538
6, 1980, 7, 14, 1980, 7, 18, 1980, 7, 18, 5, 2.57, 2.172, 10.86, 0.1989, 0.1662, 0.0002858, 0.8011, 0.3688, 1.844, 0.2167, 15.0, 14.6, 73.0, 0.2, 1.453, 1.206
7, 1980, 7, 29, 1980, 8, 2, 1980, 8, 6, 9, 3.455, 2.618, 23.56, 0.3355, 0.3192, 0.0006006, 1.923, 1.088, 9.79, 0.3345, 16.0, 15.17, 136.5, 0.3333, 2.254, 1.711
8, 1980, 12, 13, 1980, 12, 14, 1980, 12, 18, 6, 5.504, 3.781, 22.69, 1.234, 2.821, 0.001226, 3.615, 1.871, 11.23, 1.243, 24.5, 22.83, 137.0, 1.213, 2.913, 1.983
9, 1980, 12, 25, 1981, 1, 17, 1981, 1, 23, 30, 4.987, 3.191, 95.73, 0.8972, 0.1401, 0.0008762, 3.169, 1.284, 38.51, 0.8932, 24.5, 22.67, 680.0, 0.8975, 2.744, 1.674
10, 1981, 2, 14, 1981, 2, 19, 1981, 3, 2, 17, 4.119, 3.089, 52.51, 0.4373, 0.3466, 0.0007154, 2.068, 1.028, 17.48, 0.4301, 23.0, 21.85, 371.5, 0.4461, 2.008, 1.499
11, 1981, 4, 19, 1981, 4, 19, 1981, 4, 23, 5, 3.231, 2.555, 12.78, 0.3434, 1.565, 0.0003357, 1.129, 0.4484, 2.242, 0.3445, 19.0, 18.2, 91.0, 0.4, 1.537, 1.213
12, 1982, 8, 26, 1982, 8, 27, 1982, 8, 30, 5, 2.286, 2.047, 10.23, 0.2512, 0.4623, 0.0002604, 0.7426, 0.5077, 2.539, 0.2463, 15.5, 15.3, 76.5, 0.2449, 1.481, 1.329
