# Marine heatwave statistics for individual detected events at Nahoon_Beach
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1984, 12, 5, 1984, 12, 5, 1984, 12, 10, 6, 3.497, 2.6, 15.6, 0.4027, 1.975, 0.004793, 1.139, 0.2785, 1.671, 0.3847, 22.0, 21.17, 127.0, 0.3727, 1.483, 1.119
2, 1984, 12, 27, 1984, 12, 29, 1985, 1, 2, 7, 4.909, 3.754, 26.27, 0.8272, 1.181, 0.008354, 2.735, 1.589, 11.13, 0.8279, 24.0, 22.86, 160.0, 0.833, 2.259, 1.735
3, 1986, 1, 1, 1986, 1, 2, 1986, 1, 7, 7, 5.856, 3.287, 23.01, 1.049, 2.324, 0.004736, 3.697, 1.125, 7.877, 1.05, 25.0, 22.43, 157.0, 1.05, 2.712, 1.521
4, 1987, 1, 29, 1987, 2, 3, 1987, 2, 3, 6, 5.468, 3.603, 21.62, 1.22, 0.6536, 0.002223, 3.303, 1.411, 8.465, 1.223, 24.0, 22.17, 133.0, 1.213, 2.526, 1.644
5, 1987, 3, 11, 1987, 3, 12, 1987, 3, 20, 10, 4.673, 2.911, 29.11, 0.5881, 2.011, 0.002489, 2.223, 0.531, 5.31, 0.5681, 23.0, 21.2, 212.0, 0.6, 1.907, 1.221
6, 1990, 5, 2, 1990, 5, 2, 1990, 5, 7, 6, 2.788, 2.761, 16.57, 0.02208, 0.9971, 0.0002481, 0.65, 0.6462, 3.877, 0.008415, 21.0, 21.0, 126.0, 0.0, 1.304, 1.306
7, 1990, 6, 6, 1990, 6, 10, 1990, 6, 11, 6, 3.693, 2.837, 17.02, 0.3837, 0.5703, 0.0006277, 1.968, 1.109, 6.652, 0.3852, 22.0, 21.17, 127.0, 0.3727, 2.141, 1.642
8, 1990, 6, 25, 1990, 6, 29, 1990, 6, 30, 6, 5.012, 4.164, 24.98, 0.9081, 0.7882, 0.00105, 3.316, 2.483, 14.9, 0.9, 23.0, 22.17, 133.0, 0.8975, 2.956, 2.475
9, 1991, 8, 16, 1991, 8, 21, 1991, 8, 21, 6, 2.474, 2.467, 14.8, 0.005809, 0.185, 0.0001792, 0.8677, 0.8677, 5.206, 0.0, 20.0, 20.0, 120.0, 0.0, 1.54, 1.543
10, 1991, 8, 28, 1991, 9, 1, 1991, 9, 2, 6, 3.448, 2.618, 15.71, 0.3709, 0.33, 0.0005344, 1.868, 1.034, 6.206, 0.3727, 21.0, 20.17, 121.0, 0.3727, 2.182, 1.653
11, 1991, 12, 1, 1991, 12, 2, 1991, 12, 5, 5, 4.576, 3.549, 17.75, 0.8949, 2.64, 0.0008955, 2.235, 1.203, 6.016, 0.8956, 23.0, 22.0, 110.0, 0.8944, 1.955, 1.513
12, 1992, 5, 5, 1992, 5, 6, 1992, 5, 9, 5, 3.744, 2.921, 14.6, 0.6959, 1.986, 0.0005998, 1.65, 0.819, 4.095, 0.7005, 22.0, 21.2, 106.0, 0.6782, 1.788, 1.39
13, 1992, 6, 21, 1992, 7, 5, 1992, 7, 5, 15, 3.061, 2.397, 35.95, 0.5138, 0.1144, 0.0006446, 1.471, 0.7252, 10.88, 0.5394, 21.0, 20.4, 306.0, 0.4899, 1.925, 1.439
14, 1992, 10, 28, 1992, 10, 30, 1992, 11, 1, 5, 4.317, 3.313, 16.57, 0.8967, 1.004, 0.0007785, 2.332, 1.313, 6.565, 0.9091, 22.0, 21.0, 105.0, 0.8944, 2.175, 1.659
15, 1995, 4, 25, 1995, 4, 25, 1995, 4, 29, 5, 2.794, 2.792, 13.96, 0.001389, 2.995, 0.0001212, 0.4306, 0.4952, 2.476, 0.04562, 21.0, 21.0, 105.0, 0.0, 1.182, 1.216
16, 1995, 10, 14, 1995, 10, 29, 1995, 10, 31, 18, 7.317, 5.184, 93.31, 1.56, 0.3208, 0.0009302, 5.3, 3.175, 57.15, 1.556, 25.0, 22.89, 412.0, 1.56, 3.628, 2.58
17, 1997, 4, 14, 1997, 4, 15, 1997, 4, 21, 8, 3.854, 3.465, 27.72, 0.4899, 2.005, 0.0003169, 1.505, 1.069, 8.55, 0.5113, 22.0, 21.62, 173.0, 0.4841, 1.641, 1.448
