# Marine heatwave statistics for individual detected events at Tsitsikamma_East
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1992, 1, 22, 1992, 1, 27, 1992, 1, 28, 7, 4.289, 3.854, 26.98, 0.2067, 0.1406, 0.004804, 0.7385, 0.3431, 2.401, 0.1806, 23.0, 22.56, 157.9, 0.2127, 1.208, 1.097
2, 1992, 2, 2, 1992, 2, 7, 1992, 2, 7, 6, 4.758, 4.467, 26.8, 0.313, 0.2296, 0.005499, 0.8378, 0.6308, 3.785, 0.2644, 23.0, 22.84, 137.1, 0.2355, 1.214, 1.164
3, 1992, 4, 26, 1992, 4, 27, 1992, 4, 30, 5, 2.727, 2.394, 11.97, 0.2469, 0.5541, 0.002518, 0.5332, 0.2438, 1.219, 0.1927, 18.67, 18.37, 91.84, 0.2091, 1.243, 1.111
4, 1992, 5, 10, 1992, 5, 15, 1992, 6, 22, 44, 4.474, 2.716, 119.5, 0.7628, 0.3948, 0.007643, 2.535, 0.773, 34.01, 0.7371, 20.86, 19.16, 843.2, 0.742, 2.308, 1.394
5, 1992, 6, 29, 1992, 6, 30, 1992, 7, 3, 5, 2.185, 2.031, 10.16, 0.1414, 0.3668, 0.001404, 0.4525, 0.293, 1.465, 0.1475, 18.6, 18.44, 92.19, 0.1458, 1.261, 1.169
6, 1992, 7, 15, 1992, 7, 16, 1992, 7, 22, 8, 2.496, 2.237, 17.9, 0.1409, 0.4064, 0.001988, 0.7078, 0.4601, 3.681, 0.1413, 18.86, 18.58, 148.7, 0.1431, 1.396, 1.259
7, 1992, 7, 27, 1992, 8, 7, 1992, 8, 11, 16, 2.433, 1.999, 31.98, 0.2249, 0.06295, 0.003076, 1.035, 0.5034, 8.055, 0.3039, 18.56, 18.16, 290.6, 0.2051, 1.741, 1.35
8, 1992, 12, 21, 1993, 1, 22, 1993, 1, 24, 35, 4.173, 3.325, 116.4, 0.4815, 0.04632, 0.001218, 0.7195, 0.2479, 8.677, 0.2763, 22.85, 21.85, 764.9, 0.5646, 1.208, 1.077
9, 1993, 2, 13, 1993, 2, 15, 1993, 2, 17, 5, 4.551, 4.418, 22.09, 0.1078, 0.1339, 0.000589, 0.3696, 0.2316, 1.158, 0.1506, 22.45, 22.32, 111.6, 0.1581, 1.088, 1.056
10, 1993, 2, 26, 1993, 3, 2, 1993, 3, 5, 8, 5.483, 4.98, 39.84, 0.3869, 0.1955, 0.00227, 1.219, 0.6811, 5.449, 0.3949, 22.78, 22.28, 178.2, 0.3826, 1.286, 1.159
11, 1993, 5, 22, 1993, 5, 23, 1993, 5, 27, 6, 2.664, 2.363, 14.18, 0.192, 0.4819, 0.001011, 0.6617, 0.3488, 2.093, 0.2046, 19.12, 18.83, 113.0, 0.1861, 1.331, 1.174
12, 1993, 6, 3, 1993, 6, 7, 1993, 7, 19, 47, 2.77, 2.188, 102.9, 0.2178, 0.1884, 0.001462, 0.7839, 0.3724, 17.5, 0.1671, 19.26, 18.61, 874.9, 0.2462, 1.395, 1.204
13, 1997, 1, 30, 1997, 2, 11, 1997, 2, 14, 16, 5.36, 4.425, 70.8, 0.5152, 0.173, 0.0004652, 1.323, 0.5261, 8.417, 0.4055, 23.43, 22.71, 363.3, 0.3615, 1.328, 1.132
