# Marine heatwave statistics for individual detected events at Tsitsikamma_West
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1992, 5, 12, 1992, 5, 31, 1992, 7, 1, 51, 5.503, 3.376, 172.2, 0.792, 0.1412, 0.004585, 3.331, 1.467, 74.81, 0.6729, 22.0, 19.85, 1.012e+03, 0.8649, 2.533, 1.8
2, 1992, 7, 14, 1992, 7, 26, 1992, 7, 29, 16, 2.992, 2.227, 35.63, 0.4953, 0.1295, 0.002296, 1.591, 0.8408, 13.45, 0.4931, 19.0, 18.28, 292.5, 0.499, 2.135, 1.606
3, 1992, 8, 3, 1992, 8, 8, 1992, 8, 8, 6, 3.074, 2.562, 15.37, 0.4979, 0.1865, 0.001305, 1.822, 1.28, 7.683, 0.4919, 19.0, 18.5, 111.0, 0.5, 2.455, 1.998
4, 1993, 1, 2, 1993, 1, 7, 1993, 1, 9, 8, 3.889, 3.282, 26.26, 0.4581, 0.2624, 0.0005879, 0.9829, 0.3991, 3.193, 0.4131, 23.0, 22.38, 179.0, 0.4841, 1.338, 1.136
5, 1993, 1, 17, 1993, 1, 24, 1993, 1, 26, 10, 4.58, 3.823, 38.23, 0.3714, 0.183, 0.001648, 1.499, 0.779, 7.79, 0.3522, 24.0, 23.2, 232.0, 0.4, 1.486, 1.255
6, 1993, 2, 25, 1993, 3, 3, 1993, 3, 4, 8, 4.933, 4.138, 33.1, 0.4931, 0.2822, 0.001516, 1.304, 0.5099, 4.079, 0.4872, 23.0, 22.31, 178.5, 0.4285, 1.359, 1.14
7, 1994, 11, 11, 1994, 11, 13, 1994, 11, 17, 7, 2.679, 2.102, 14.71, 0.2726, 0.3485, 0.000585, 0.89, 0.3148, 2.203, 0.2695, 20.5, 19.99, 139.9, 0.2356, 1.497, 1.176
8, 1998, 7, 7, 1998, 7, 18, 1998, 7, 21, 15, 2.407, 1.666, 25.0, 0.3456, 0.0836, 0.0003633, 1.026, 0.2861, 4.291, 0.3463, 18.5, 17.79, 266.9, 0.3473, 1.743, 1.207
9, 1998, 7, 26, 1998, 7, 29, 1998, 7, 31, 6, 2.523, 1.9, 11.4, 0.3654, 0.3677, 0.0003853, 1.151, 0.5219, 3.131, 0.3653, 18.5, 17.88, 107.3, 0.3625, 1.838, 1.379
10, 1999, 1, 7, 1999, 1, 7, 1999, 1, 17, 11, 4.889, 4.234, 46.57, 0.7341, 2.985, 0.0006244, 1.983, 1.265, 13.92, 0.7388, 24.0, 23.44, 257.8, 0.6826, 1.682, 1.427
