# Marine heatwave statistics for individual detected events at Ystervarkpunt
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
1, 1998, 7, 20, 1998, 7, 26, 1998, 8, 20, 32, 2.386, 1.252, 40.06, 0.4327, 0.1903, 0.001556, 1.463, 0.3864, 12.36, 0.392, 17.43, 16.3, 521.7, 0.4143, 2.584, 1.428
2, 1998, 9, 4, 1998, 9, 7, 1998, 9, 9, 6, 1.016, 0.9408, 5.645, 0.04431, 0.05131, 0.0001329, 0.1404, 0.06986, 0.4192, 0.03977, 16.58, 16.5, 98.98, 0.07405, 1.16, 1.08
3, 1999, 6, 20, 1999, 6, 22, 1999, 6, 29, 10, 1.439, 1.118, 11.18, 0.156, 0.1855, 0.0004244, 0.6004, 0.2771, 2.771, 0.1578, 17.09, 16.71, 167.1, 0.2126, 1.716, 1.33
4, 2001, 6, 27, 2001, 7, 3, 2001, 7, 4, 8, 1.487, 1.169, 9.351, 0.159, 0.1027, 0.0002858, 0.6205, 0.3143, 2.514, 0.1531, 16.86, 16.61, 132.8, 0.1324, 1.716, 1.367
5, 2002, 3, 19, 2002, 3, 23, 2002, 3, 23, 5, 3.735, 3.419, 17.1, 0.2796, 0.226, 0.0002774, 0.8603, 0.5356, 2.678, 0.2893, 22.0, 21.82, 109.1, 0.1898, 1.299, 1.186
6, 2002, 8, 27, 2002, 9, 2, 2002, 9, 6, 11, 1.335, 1.038, 11.42, 0.1983, 0.09367, 0.000309, 0.5013, 0.2106, 2.316, 0.1961, 16.78, 16.46, 181.1, 0.2216, 1.601, 1.254
7, 2003, 2, 2, 2003, 2, 7, 2003, 2, 8, 7, 3.244, 2.678, 18.75, 0.314, 0.2027, 0.0003882, 0.9408, 0.4397, 3.078, 0.2652, 23.63, 23.11, 161.8, 0.2759, 1.409, 1.194
8, 2003, 2, 27, 2003, 3, 4, 2003, 3, 7, 9, 3.737, 3.536, 31.82, 0.1517, 0.1848, 0.0003408, 0.7598, 0.5378, 4.84, 0.1533, 23.06, 22.88, 206.0, 0.1714, 1.255, 1.18
9, 2003, 3, 13, 2003, 3, 17, 2003, 3, 19, 7, 3.775, 3.48, 24.36, 0.1924, 0.3082, 0.0002648, 0.8654, 0.5738, 4.017, 0.1911, 22.44, 22.21, 155.5, 0.1604, 1.297, 1.197
10, 2003, 3, 28, 2003, 3, 28, 2003, 4, 1, 5, 3.243, 3.17, 15.85, 0.05495, 0.3457, 0.0001469, 0.3051, 0.1782, 0.8908, 0.06735, 21.11, 20.86, 104.3, 0.1416, 1.104, 1.06
