"site","lon","lat","lag","quantile","direction","insitu","OISST","cooccurrence","proportion"
"Eastern Beach",27.921824,-33.017976,2,0,"b",25,36,1,0.04
"Eastern Beach",27.921824,-33.017976,2,0,"x",25,36,3,0.12
"Eastern Beach",27.921824,-33.017976,2,0,"a",25,36,2,0.08
"Eastern Beach",27.921824,-33.017976,2,0.1,"b",22,32,0,0
"Eastern Beach",27.921824,-33.017976,2,0.1,"x",22,32,2,0.0909090909090909
"Eastern Beach",27.921824,-33.017976,2,0.1,"a",22,32,2,0.0909090909090909
"Eastern Beach",27.921824,-33.017976,2,0.2,"b",20,29,0,0
"Eastern Beach",27.921824,-33.017976,2,0.2,"x",20,29,2,0.1
"Eastern Beach",27.921824,-33.017976,2,0.2,"a",20,29,2,0.1
"Eastern Beach",27.921824,-33.017976,2,0.3,"b",17,25,0,0
"Eastern Beach",27.921824,-33.017976,2,0.3,"x",17,25,2,0.117647058823529
"Eastern Beach",27.921824,-33.017976,2,0.3,"a",17,25,2,0.117647058823529
"Eastern Beach",27.921824,-33.017976,2,0.4,"b",15,22,0,0
"Eastern Beach",27.921824,-33.017976,2,0.4,"x",15,22,1,0.0666666666666667
"Eastern Beach",27.921824,-33.017976,2,0.4,"a",15,22,1,0.0666666666666667
"Eastern Beach",27.921824,-33.017976,2,0.5,"b",13,18,0,0
"Eastern Beach",27.921824,-33.017976,2,0.5,"x",13,18,0,0
"Eastern Beach",27.921824,-33.017976,2,0.5,"a",13,18,0,0
"Eastern Beach",27.921824,-33.017976,2,0.6,"b",10,14,0,0
"Eastern Beach",27.921824,-33.017976,2,0.6,"x",10,14,0,0
"Eastern Beach",27.921824,-33.017976,2,0.6,"a",10,14,0,0
"Eastern Beach",27.921824,-33.017976,2,0.7,"b",8,11,0,0
"Eastern Beach",27.921824,-33.017976,2,0.7,"x",8,11,0,0
"Eastern Beach",27.921824,-33.017976,2,0.7,"a",8,11,0,0
"Eastern Beach",27.921824,-33.017976,2,0.8,"b",5,8,0,0
"Eastern Beach",27.921824,-33.017976,2,0.8,"x",5,8,0,0
"Eastern Beach",27.921824,-33.017976,2,0.8,"a",5,8,0,0
"Eastern Beach",27.921824,-33.017976,2,0.9,"b",3,4,0,0
"Eastern Beach",27.921824,-33.017976,2,0.9,"x",3,4,0,0
"Eastern Beach",27.921824,-33.017976,2,0.9,"a",3,4,0,0
"Eastern Beach",27.921824,-33.017976,2,1,"b",1,1,0,0
"Eastern Beach",27.921824,-33.017976,2,1,"x",1,1,0,0
"Eastern Beach",27.921824,-33.017976,2,1,"a",1,1,0,0
"Eastern Beach",27.921824,-33.017976,4,0,"b",25,36,1,0.04
"Eastern Beach",27.921824,-33.017976,4,0,"x",25,36,3,0.12
"Eastern Beach",27.921824,-33.017976,4,0,"a",25,36,2,0.08
"Eastern Beach",27.921824,-33.017976,4,0.1,"b",22,32,0,0
"Eastern Beach",27.921824,-33.017976,4,0.1,"x",22,32,2,0.0909090909090909
"Eastern Beach",27.921824,-33.017976,4,0.1,"a",22,32,2,0.0909090909090909
"Eastern Beach",27.921824,-33.017976,4,0.2,"b",20,29,0,0
"Eastern Beach",27.921824,-33.017976,4,0.2,"x",20,29,2,0.1
