"site","events","cooccurrence","proportion","lon","lat"
"Eastern Beach",25,5,0.2,27.921824,-33.017976
"Fish Hoek",25,3,0.12,18.4359169,-34.13525212
"Gordons Bay",52,7,0.134615384615385,18.859076,-34.163417
"Hamburg",22,2,0.0909090909090909,27.48888889,-33.28611111
"Hermanus",36,8,0.222222222222222,19.25493,-34.414594
"Hout Bay",24,2,0.0833333333333333,18.349713,-34.050165
"Humewood",42,1,0.0238095238095238,25.64723969,-33.97361638
"Knysna",23,7,0.304347826086957,23.0669444444,-34.0827777778
"Kommetjie",29,4,0.137931034482759,18.32674026,-34.13667297
"Mossel Bay",31,8,0.258064516129032,22.155,-34.1833333333
"Muizenberg",57,6,0.105263157894737,18.48363876,-34.10398726
"Nahoon Beach",21,0,0,27.950362,-32.993159
"Orient Beach",37,5,0.135135135135135,27.91625977,-33.02406514
"Pollock Beach",19,4,0.210526315789474,25.677885,-33.99125
"Port Nolloth",56,3,0.0535714285714286,16.86710358,-29.25240668
"Sea Point",69,5,0.072463768115942,18.382165,-33.918469
"Sodwana",35,0,0,32.7333333333,-27.4247222222
"Storms River Mouth",23,5,0.217391304347826,23.899327,-34.024482
"Tsitsikamma East",39,9,0.230769230769231,23.9105555556,-34.0269444444
"Tsitsikamma West",21,3,0.142857142857143,23.64566803,-33.98066281
"Ystervarkpunt",16,4,0.25,21.73972222,-34.40277778
