"ID","site","lon","lat","type","start.date","end.date","length","temp.days","NA.","mean","sd","min","max"
1,"Port Nolloth",16.87,-29.25,"thermo",1973-07-22,2011-08-31,13920,12969,6.8,12.3,1.4,9.2,21
2,"Sea Point",18.38,-33.92,"thermo",1973-12-31,2011-08-10,13737,12873,6.3,13.1,1.6,8.7,23
3,"Hout Bay",18.35,-34.05,"UTR",1991-03-25,2008-04-21,6238,5933,4.9,11.2,1.8,7.5,16.7
4,"Kommetjie",18.33,-34.14,"thermo",1992-02-29,2011-08-17,7110,6586,7.4,13.3,1.6,9,20.4
5,"Fish Hoek",18.44,-34.14,"thermo",1992-02-29,2011-08-17,7110,6693,5.9,15.4,2.3,10,22.5
6,"Muizenberg",18.48,-34.1,"thermo",1973-05-04,2011-08-24,13992,13443,3.9,15.9,3,9,25
7,"Gordons Bay",18.86,-34.16,"thermo",1972-09-12,2011-08-24,14226,13657,4,16.5,2.4,10,25.5
8,"Hermanus",19.25,-34.41,"thermo",1989-11-30,2011-05-18,7840,7517,4.1,15.6,1.6,9,23.5
9,"Ystervarkpunt",21.74,-34.4,"UTR",1995-10-23,2007-06-19,4258,4257,0,17.6,2.6,10.1,23.6
10,"Mossel Bay",22.16,-34.18,"UTR",1991-06-26,2007-06-19,5838,5345,8.4,18,2.7,10.1,24.6
11,"Knysna",23.07,-34.08,"UTR",1995-03-21,2009-11-04,5343,5006,6.3,17.3,2.6,10.7,24.2
12,"Tsitsikamma West",23.65,-33.98,"thermo",1990-06-30,2007-02-14,6074,5607,7.7,17.2,2.6,9.5,29.3
13,"Storms River Mouth",23.9,-34.02,"thermo",1993-03-31,2008-12-30,5754,5521,4,16.8,2.5,9.4,24.4
14,"Tsitsikamma East",23.91,-34.03,"UTR",1991-06-29,2009-11-08,6708,6437,4,16.8,2.5,8.8,23.4
15,"Pollock Beach",25.68,-33.99,"thermo",1999-05-12,2011-07-06,4439,4308,3,18.1,2.1,10.8,26.5
16,"Humewood",25.65,-33.97,"thermo",1973-08-24,1999-12-30,9625,9324,3.1,18,2.3,11,25
17,"Hamburg",27.49,-33.29,"UTR",1995-10-30,2010-02-25,5233,4898,6.4,17.5,1.8,12.1,24.1
18,"Eastern Beach",27.92,-33.02,"thermo",1983-12-31,1998-07-30,5326,4802,9.8,17.9,1.8,12.5,25
19,"Orient Beach",27.92,-33.02,"thermo",1983-12-31,2011-07-06,10050,9657,3.9,18,1.6,12,26
20,"Nahoon Beach",27.95,-32.99,"thermo",1983-12-31,1998-07-30,5326,4954,7,18.1,1.7,10,25
21,"Sodwana",32.73,-27.42,"UTR",1994-03-11,2010-01-25,5800,5392,7,24.4,2,18.6,29.1
22,"west coast",17.98,-32.84,NA,1973-07-22,2011-08-31,10251,9590,6.3,12.5,1.6,8.6,20.3
23,"south coast",22.48,-34.06,NA,1972-09-12,2011-08-24,7418,7078,4.7,17,2.4,10,24.7
24,"east coast",29.13,-31.61,NA,1983-12-31,2011-07-06,6626,6201,6.9,19.6,1.8,13.3,26.3
