"site","lon","lat","lag","quantile","direction","insitu","OISST","cooccurrence","proportion"
"Eastern Beach",27.921824,-33.017976,2,0,"b",18,25,0,0
"Eastern Beach",27.921824,-33.017976,2,0,"x",18,25,1,0.0555555555555556
"Eastern Beach",27.921824,-33.017976,2,0,"a",18,25,1,0.0555555555555556
"Eastern Beach",27.921824,-33.017976,2,0.1,"b",16,22,0,0
"Eastern Beach",27.921824,-33.017976,2,0.1,"x",16,22,1,0.0625
"Eastern Beach",27.921824,-33.017976,2,0.1,"a",16,22,1,0.0625
"Eastern Beach",27.921824,-33.017976,2,0.2,"b",14,20,0,0
"Eastern Beach",27.921824,-33.017976,2,0.2,"x",14,20,1,0.0714285714285714
"Eastern Beach",27.921824,-33.017976,2,0.2,"a",14,20,1,0.0714285714285714
"Eastern Beach",27.921824,-33.017976,2,0.3,"b",12,17,0,0
"Eastern Beach",27.921824,-33.017976,2,0.3,"x",12,17,0,0
"Eastern Beach",27.921824,-33.017976,2,0.3,"a",12,17,0,0
"Eastern Beach",27.921824,-33.017976,2,0.4,"b",11,15,0,0
"Eastern Beach",27.921824,-33.017976,2,0.4,"x",11,15,0,0
"Eastern Beach",27.921824,-33.017976,2,0.4,"a",11,15,0,0
"Eastern Beach",27.921824,-33.017976,2,0.5,"b",9,13,0,0
"Eastern Beach",27.921824,-33.017976,2,0.5,"x",9,13,0,0
"Eastern Beach",27.921824,-33.017976,2,0.5,"a",9,13,0,0
"Eastern Beach",27.921824,-33.017976,2,0.6,"b",7,10,0,0
"Eastern Beach",27.921824,-33.017976,2,0.6,"x",7,10,0,0
"Eastern Beach",27.921824,-33.017976,2,0.6,"a",7,10,0,0
"Eastern Beach",27.921824,-33.017976,2,0.7,"b",6,8,0,0
"Eastern Beach",27.921824,-33.017976,2,0.7,"x",6,8,0,0
"Eastern Beach",27.921824,-33.017976,2,0.7,"a",6,8,0,0
"Eastern Beach",27.921824,-33.017976,2,0.8,"b",4,5,0,0
"Eastern Beach",27.921824,-33.017976,2,0.8,"x",4,5,0,0
"Eastern Beach",27.921824,-33.017976,2,0.8,"a",4,5,0,0
"Eastern Beach",27.921824,-33.017976,2,0.9,"b",2,3,0,0
"Eastern Beach",27.921824,-33.017976,2,0.9,"x",2,3,0,0
"Eastern Beach",27.921824,-33.017976,2,0.9,"a",2,3,0,0
"Eastern Beach",27.921824,-33.017976,2,1,"b",1,1,0,0
"Eastern Beach",27.921824,-33.017976,2,1,"x",1,1,0,0
"Eastern Beach",27.921824,-33.017976,2,1,"a",1,1,0,0
"Eastern Beach",27.921824,-33.017976,4,0,"b",18,25,0,0
"Eastern Beach",27.921824,-33.017976,4,0,"x",18,25,1,0.0555555555555556
"Eastern Beach",27.921824,-33.017976,4,0,"a",18,25,1,0.0555555555555556
"Eastern Beach",27.921824,-33.017976,4,0.1,"b",16,22,0,0
"Eastern Beach",27.921824,-33.017976,4,0.1,"x",16,22,1,0.0625
"Eastern Beach",27.921824,-33.017976,4,0.1,"a",16,22,1,0.0625
"Eastern Beach",27.921824,-33.017976,4,0.2,"b",14,20,0,0
"Eastern Beach",27.921824,-33.017976,4,0.2,"x",14,20,1,0.0714285714285714
"Eastern Beach",27.921824,-33.017976,4,0.2,"a",14,20,1,0.0714285714285714
"Eastern Beach",27.921824,-33.017976,4,0.3,"b",12,17,0,0
"Eastern Beach",27.921824,-33.017976,4,0.3,"x",12,17,0,0
"Eastern Beach",27.921824,-33.017976,4,0.3,"a",12,17,0,0
"Eastern Beach",27.921824,-33.017976,4,0.4,"b",11,15,0,0
"Eastern Beach",27.921824,-33.017976,4,0.4,"x",11,15,0,0
"Eastern Beach",27.921824,-33.017976,4,0.4,"a",11,15,0,0
"Eastern Beach",27.921824,-33.017976,4,0.5,"b",9,13,0,0
"Eastern Beach",27.921824,-33.017976,4,0.5,"x",9,13,0,0
"Eastern Beach",27.921824,-33.017976,4,0.5,"a",9,13,0,0
"Eastern Beach",27.921824,-33.017976,4,0.6,"b",7,10,0,0
"Eastern Beach",27.921824,-33.017976,4,0.6,"x",7,10,0,0
"Eastern Beach",27.921824,-33.017976,4,0.6,"a",7,10,0,0
"Eastern Beach",27.921824,-33.017976,4,0.7,"b",6,8,0,0
"Eastern Beach",27.921824,-33.017976,4,0.7,"x",6,8,0,0
"Eastern Beach",27.921824,-33.017976,4,0.7,"a",6,8,0,0
"Eastern Beach",27.921824,-33.017976,4,0.8,"b",4,5,0,0
"Eastern Beach",27.921824,-33.017976,4,0.8,"x",4,5,0,0
"Eastern Beach",27.921824,-33.017976,4,0.8,"a",4,5,0,0
"Eastern Beach",27.921824,-33.017976,4,0.9,"b",2,3,0,0
"Eastern Beach",27.921824,-33.017976,4,0.9,"x",2,3,0,0
"Eastern Beach",27.921824,-33.017976,4,0.9,"a",2,3,0,0
"Eastern Beach",27.921824,-33.017976,4,1,"b",1,1,0,0
"Eastern Beach",27.921824,-33.017976,4,1,"x",1,1,0,0
"Eastern Beach",27.921824,-33.017976,4,1,"a",1,1,0,0
"Eastern Beach",27.921824,-33.017976,6,0,"b",18,25,0,0
"Eastern Beach",27.921824,-33.017976,6,0,"x",18,25,1,0.0555555555555556
