"site","events","cooccurrence","proportion","lon","lat"
"Eastern Beach",18,1,0.0555555555555556,27.921824,-33.017976
"Fish Hoek",41,3,0.0731707317073171,18.4359169,-34.13525212
"Gordons Bay",54,6,0.111111111111111,18.859076,-34.163417
"Hamburg",31,5,0.161290322580645,27.48888889,-33.28611111
"Hermanus",30,3,0.1,19.25493,-34.414594
"Hout Bay",31,3,0.0967741935483871,18.349713,-34.050165
"Humewood",26,5,0.192307692307692,25.64723969,-33.97361638
"Knysna",26,6,0.230769230769231,23.0669444444,-34.0827777778
"Kommetjie",35,5,0.142857142857143,18.32674026,-34.13667297
"Mossel Bay",26,5,0.192307692307692,22.155,-34.1833333333
"Muizenberg",35,2,0.0571428571428571,18.48363876,-34.10398726
"Nahoon Beach",17,0,0,27.950362,-32.993159
"Orient Beach",47,2,0.0425531914893617,27.91625977,-33.02406514
"Pollock Beach",20,6,0.3,25.677885,-33.99125
"Port Nolloth",59,13,0.220338983050847,16.86710358,-29.25240668
"Sea Point",57,5,0.087719298245614,18.382165,-33.918469
"Sodwana",33,0,0,32.7333333333,-27.4247222222
"Storms River Mouth",29,8,0.275862068965517,23.899327,-34.024482
"Tsitsikamma East",36,13,0.361111111111111,23.9105555556,-34.0269444444
"Tsitsikamma West",25,7,0.28,23.64566803,-33.98066281
"Ystervarkpunt",22,7,0.318181818181818,21.73972222,-34.40277778
