"","coast","lag","quantile","direction","proportion"
"1","east",2,0,"a",0.0290404040404041
"2","east",2,0,"b",0.0303030303030302
"3","east",2,0,"x",0.0593434343434344
"4","east",2,0.1,"a",0.0242456896551724
"5","east",2,0.1,"b",0.0172413793103448
"6","east",2,0.1,"x",0.0414870689655173
"7","east",2,0.2,"a",0.0274725274725275
"8","east",2,0.2,"b",0.0192307692307692
"9","east",2,0.2,"x",0.0467032967032966
"10","east",2,0.3,"a",0
"11","east",2,0.3,"b",0.0108695652173913
"12","east",2,0.3,"x",0.0108695652173913
"13","east",2,0.4,"a",0
"14","east",2,0.4,"b",0.0125
"15","east",2,0.4,"x",0.0125
"16","east",2,0.5,"a",0
"17","east",2,0.5,"b",0.0147058823529412
"18","east",2,0.5,"x",0.0147058823529412
"19","east",2,0.6,"a",0
"20","east",2,0.6,"b",0
"21","east",2,0.6,"x",0
"22","east",2,0.7,"a",0
"23","east",2,0.7,"b",0
"24","east",2,0.7,"x",0
"25","east",2,0.8,"a",0
"26","east",2,0.8,"b",0
"27","east",2,0.8,"x",0
"28","east",2,0.9,"a",0
"29","east",2,0.9,"b",0
"30","east",2,0.9,"x",0
"31","east",2,1,"a",0
"32","east",2,1,"b",0
"33","east",2,1,"x",0
"34","east",4,0,"a",0.0366161616161616
"35","east",4,0,"b",0.053030303030303
"36","east",4,0,"x",0.0896464646464646
"37","east",4,0.1,"a",0.0328663793103448
"38","east",4,0.1,"b",0.0344827586206898
"39","east",4,0.1,"x",0.0673491379310345
"40","east",4,0.2,"a",0.0370879120879121
"41","east",4,0.2,"b",0.0384615384615385
"42","east",4,0.2,"x",0.0755494505494506
"43","east",4,0.3,"a",0.0108695652173913
"44","east",4,0.3,"b",0.032608695652174
"45","east",4,0.3,"x",0.0434782608695653
"46","east",4,0.4,"a",0.0125
"47","east",4,0.4,"b",0.0375
"48","east",4,0.4,"x",0.05
"49","east",4,0.5,"a",0.0147058823529412
"50","east",4,0.5,"b",0.0294117647058822
"51","east",4,0.5,"x",0.0441176470588235
"52","east",4,0.6,"a",0.0192307692307692
"53","east",4,0.6,"b",0.0192307692307692
"54","east",4,0.6,"x",0.0384615384615385
"55","east",4,0.7,"a",0.025
"56","east",4,0.7,"b",0
"57","east",4,0.7,"x",0.025
"58","east",4,0.8,"a",0
"59","east",4,0.8,"b",0
"60","east",4,0.8,"x",0
"61","east",4,0.9,"a",0
"62","east",4,0.9,"b",0
"63","east",4,0.9,"x",0
"64","east",4,1,"a",0
"65","east",4,1,"b",0
"66","east",4,1,"x",0
"67","east",6,0,"a",0.0593434343434344
"68","east",6,0,"b",0.0659252095422307
"69","east",6,0,"x",0.125268643885665
"70","east",6,0.1,"a",0.058728448275862
"71","east",6,0.1,"b",0.043103448275862
"72","east",6,0.1,"x",0.101831896551724
"73","east",6,0.2,"a",0.0659340659340659
"74","east",6,0.2,"b",0.048076923076923
"75","east",6,0.2,"x",0.114010989010989
"76","east",6,0.3,"a",0.032608695652174
"77","east",6,0.3,"b",0.0434782608695653
"78","east",6,0.3,"x",0.0760869565217392
"79","east",6,0.4,"a",0.0375
"80","east",6,0.4,"b",0.05
"81","east",6,0.4,"x",0.0875
"82","east",6,0.5,"a",0.0294117647058822
"83","east",6,0.5,"b",0.0294117647058822
"84","east",6,0.5,"x",0.0588235294117647
"85","east",6,0.6,"a",0.0192307692307692
"86","east",6,0.6,"b",0.0192307692307692
"87","east",6,0.6,"x",0.0384615384615385
"88","east",6,0.7,"a",0.025
"89","east",6,0.7,"b",0
"90","east",6,0.7,"x",0.025
"91","east",6,0.8,"a",0
"92","east",6,0.8,"b",0
"93","east",6,0.8,"x",0
"94","east",6,0.9,"a",0
"95","east",6,0.9,"b",0
"96","east",6,0.9,"x",0
"97","east",6,1,"a",0
"98","east",6,1,"b",0
"99","east",6,1,"x",0
"100","east",8,0,"a",0.0740493166963756
"101","east",8,0,"b",0.0886524822695035
"102","east",8,0,"x",0.162701798965879
"103","east",8,0.1,"a",0.058728448275862
"104","east",8,0.1,"b",0.0689655172413793
"105","east",8,0.1,"x",0.127693965517241
"106","east",8,0.2,"a",0.0659340659340659
"107","east",8,0.2,"b",0.076923076923077
"108","east",8,0.2,"x",0.142857142857143
"109","east",8,0.3,"a",0.032608695652174
"110","east",8,0.3,"b",0.0652173913043478
"111","east",8,0.3,"x",0.0978260869565217
"112","east",8,0.4,"a",0.0375
"113","east",8,0.4,"b",0.05
"114","east",8,0.4,"x",0.0875
"115","east",8,0.5,"a",0.0294117647058822
"116","east",8,0.5,"b",0.0294117647058822
"117","east",8,0.5,"x",0.0588235294117647
"118","east",8,0.6,"a",0.0192307692307692
"119","east",8,0.6,"b",0.0192307692307692
"120","east",8,0.6,"x",0.0384615384615385
"121","east",8,0.7,"a",0.025
"122","east",8,0.7,"b",0
"123","east",8,0.7,"x",0.025
"124","east",8,0.8,"a",0
"125","east",8,0.8,"b",0
"126","east",8,0.8,"x",0
"127","east",8,0.9,"a",0
"128","east",8,0.9,"b",0
"129","east",8,0.9,"x",0
"130","east",8,1,"a",0
"131","east",8,1,"b",0
"132","east",8,1,"x",0
"133","east",10,0,"a",0.106969254497415
"134","east",10,0,"b",0.111379754996776
"135","east",10,0,"x",0.218349009494191
"136","east",10,0.1,"a",0.0959205665024631
"137","east",10,0.1,"b",0.0862068965517243
"138","east",10,0.1,"x",0.182127463054187
"139","east",10,0.2,"a",0.108293733293733
"140","east",10,0.2,"b",0.0961538461538463
"141","east",10,0.2,"x",0.204447579447579
"142","east",10,0.3,"a",0.0794631093544137
"143","east",10,0.3,"b",0.0869565217391305
"144","east",10,0.3,"x",0.166419631093544
"145","east",10,0.4,"a",0.0678571428571429
"146","east",10,0.4,"b",0.075
"147","east",10,0.4,"x",0.142857142857143
"148","east",10,0.5,"a",0.0649509803921568
"149","east",10,0.5,"b",0.0588235294117647
"150","east",10,0.5,"x",0.123774509803922
"151","east",10,0.6,"a",0.0455465587044535
"152","east",10,0.6,"b",0.0576923076923078
"153","east",10,0.6,"x",0.103238866396761
"154","east",10,0.7,"a",0.0607142857142857
"155","east",10,0.7,"b",0.05
"156","east",10,0.7,"x",0.110714285714286
"157","east",10,0.8,"a",0.05
"158","east",10,0.8,"b",0.0357142857142857
"159","east",10,0.8,"x",0.0857142857142857
"160","east",10,0.9,"a",0.1
"161","east",10,0.9,"b",0.0625
"162","east",10,0.9,"x",0.1625
"163","east",10,1,"a",0
"164","east",10,1,"b",0
"165","east",10,1,"x",0
"166","east",12,0,"a",0.106969254497415
"167","east",12,0,"b",0.130587792821835
"168","east",12,0,"x",0.23755704731925
"169","east",12,0.1,"a",0.0959205665024631
"170","east",12,0.1,"b",0.107784277504105
"171","east",12,0.1,"x",0.203704844006568
"172","east",12,0.2,"a",0.108293733293733
"173","east",12,0.2,"b",0.120767745767746
"174","east",12,0.2,"x",0.229061479061479
"175","east",12,0.3,"a",0.0794631093544137
"176","east",12,0.3,"b",0.115365612648221
"177","east",12,0.3,"x",0.194828722002635
"178","east",12,0.4,"a",0.0678571428571429
"179","east",12,0.4,"b",0.106655844155844
"180","east",12,0.4,"x",0.174512987012987
"181","east",12,0.5,"a",0.0649509803921568
"182","east",12,0.5,"b",0.0866013071895425
"183","east",12,0.5,"x",0.151552287581699
"184","east",12,0.6,"a",0.0455465587044535
"185","east",12,0.6,"b",0.0576923076923078
"186","east",12,0.6,"x",0.103238866396761
"187","east",12,0.7,"a",0.0607142857142857
"188","east",12,0.7,"b",0.05
"189","east",12,0.7,"x",0.110714285714286
"190","east",12,0.8,"a",0.05
"191","east",12,0.8,"b",0.0357142857142857
"192","east",12,0.8,"x",0.0857142857142857
"193","east",12,0.9,"a",0.1
"194","east",12,0.9,"b",0.0625
"195","east",12,0.9,"x",0.1625
"196","east",12,1,"a",0
"197","east",12,1,"b",0
"198","east",12,1,"x",0
"199","east",14,0,"a",0.12212076964893
"200","east",14,0,"b",0.135906941758006
"201","east",14,0,"x",0.258027711406935
"202","east",14,0.1,"a",0.104541256157636
"203","east",14,0.1,"b",0.113736658456486
"204","east",14,0.1,"x",0.218277914614121
"205","east",14,0.2,"a",0.108293733293733
"206","east",14,0.2,"b",0.127524502524503
"207","east",14,0.2,"x",0.235818235818236
"208","east",14,0.3,"a",0.0794631093544137
"209","east",14,0.3,"b",0.122941370223979
"210","east",14,0.3,"x",0.202404479578393
"211","east",14,0.4,"a",0.0678571428571429
"212","east",14,0.4,"b",0.115584415584416
"213","east",14,0.4,"x",0.183441558441558
"214","east",14,0.5,"a",0.0649509803921568
"215","east",14,0.5,"b",0.0866013071895425
"216","east",14,0.5,"x",0.151552287581699
"217","east",14,0.6,"a",0.0455465587044535
"218","east",14,0.6,"b",0.0576923076923078
"219","east",14,0.6,"x",0.103238866396761
"220","east",14,0.7,"a",0.0607142857142857
"221","east",14,0.7,"b",0.05
"222","east",14,0.7,"x",0.110714285714286
"223","east",14,0.8,"a",0.05
"224","east",14,0.8,"b",0.0357142857142857
"225","east",14,0.8,"x",0.0857142857142857
"226","east",14,0.9,"a",0.1
"227","east",14,0.9,"b",0.0625
"228","east",14,0.9,"x",0.1625
"229","east",14,1,"a",0
"230","east",14,1,"b",0
"231","east",14,1,"x",0
"232","south",2,0,"a",0.0494797166398839
"233","south",2,0,"b",0.0685921219158483
"234","south",2,0,"x",0.104035020672761
"235","south",2,0.1,"a",0.0514002564763874
"236","south",2,0.1,"b",0.0677738528909097
"237","south",2,0.1,"x",0.107677453848903
"238","south",2,0.2,"a",0.0524516352918329
"239","south",2,0.2,"b",0.0726196103212246
"240","south",2,0.2,"x",0.112440198499252
"241","south",2,0.3,"a",0.0520685940158556
"242","south",2,0.3,"b",0.0676312185258486
"243","south",2,0.3,"x",0.108075880917773
"244","south",2,0.4,"a",0.0596231106751468
"245","south",2,0.4,"b",0.0726453448512271
"246","south",2,0.4,"x",0.119156567414486
"247","south",2,0.5,"a",0.0581905274212967
"248","south",2,0.5,"b",0.0726276572430419
"249","south",2,0.5,"x",0.114710360864207
"250","south",2,0.6,"a",0.0656191031191031
"251","south",2,0.6,"b",0.0635531135531136
"252","south",2,0.6,"x",0.116684704184704
"253","south",2,0.7,"a",0.0783938283938284
"254","south",2,0.7,"b",0.0561868686868687
"255","south",2,0.7,"x",0.117972305472305
"256","south",2,0.8,"a",0.0720085470085471
"257","south",2,0.8,"b",0.0326340326340327
"258","south",2,0.8,"x",0.0918220668220668
"259","south",2,0.9,"a",0.111538461538461
"260","south",2,0.9,"b",0.0384615384615385
"261","south",2,0.9,"x",0.124358974358974
"262","south",2,1,"a",0.230769230769231
"263","south",2,1,"b",0
"264","south",2,1,"x",0.230769230769231
"265","south",4,0,"a",0.0957498815452846
"266","south",4,0,"b",0.116860235799503
"267","south",4,0,"x",0.198573299461816
"268","south",4,0.1,"a",0.103876744307566
"269","south",4,0.1,"b",0.107712878469567
"270","south",4,0.1,"x",0.200092967258739
"271","south",4,0.2,"a",0.107465102217064
"272","south",4,0.2,"b",0.104186485826596
"273","south",4,0.2,"x",0.199020540929855
"274","south",4,0.3,"a",0.0996948239950268
"275","south",4,0.3,"b",0.0934161937845081
"276","south",4,0.3,"x",0.181487086155603
"277","south",4,0.4,"a",0.114060980497632
"278","south",4,0.4,"b",0.0952209310297545
"279","south",4,0.4,"x",0.196170023415499
"280","south",4,0.5,"a",0.116447654909193
"281","south",4,0.5,"b",0.0995939204084001
"282","south",4,0.5,"x",0.199933751517462
"283","south",4,0.6,"a",0.128847541347541
"284","south",4,0.6,"b",0.0914418914418915
"285","south",4,0.6,"x",0.20780192030192
"286","south",4,0.7,"a",0.132423132423132
"287","south",4,0.7,"b",0.074980574980575
"288","south",4,0.7,"x",0.190795315795316
"289","south",4,0.8,"a",0.128418803418803
"290","south",4,0.8,"b",0.0422494172494173
"291","south",4,0.8,"x",0.157847707847708
"292","south",4,0.9,"a",0.137179487179487
"293","south",4,0.9,"b",0.0384615384615385
"294","south",4,0.9,"x",0.15
"295","south",4,1,"a",0.230769230769231
"296","south",4,1,"b",0
"297","south",4,1,"x",0.230769230769231
"298","south",6,0,"a",0.114205814897381
"299","south",6,0,"b",0.174033804064152
"300","south",6,0,"x",0.274202801078562
"301","south",6,0.1,"a",0.124545132659901
"302","south",6,0.1,"b",0.157786215827274
"303","south",6,0.1,"x",0.27083469296878
"304","south",6,0.2,"a",0.126831135780215
"305","south",6,0.2,"b",0.145848122557781
"306","south",6,0.2,"x",0.26004821122419
"307","south",6,0.3,"a",0.121890432379383
"308","south",6,0.3,"b",0.137701868964813
"309","south",6,0.3,"x",0.247968369720265
"310","south",6,0.4,"a",0.139873746163339
"311","south",6,0.4,"b",0.14359324185116
"312","south",6,0.4,"x",0.270355099902611
"313","south",6,0.5,"a",0.136390674852213
"314","south",6,0.5,"b",0.147023983223078
"315","south",6,0.5,"x",0.26730683427516
"316","south",6,0.6,"a",0.153864191364191
"317","south",6,0.6,"b",0.14279193029193
"318","south",6,0.6,"x",0.284168609168609
"319","south",6,0.7,"a",0.147963147963148
"320","south",6,0.7,"b",0.113976301476301
"321","south",6,0.7,"x",0.245331057831058
"322","south",6,0.8,"a",0.150854700854701
"323","south",6,0.8,"b",0.0764374514374515
"324","south",6,0.8,"x",0.214471639471639
"325","south",6,0.9,"a",0.137179487179487
"326","south",6,0.9,"b",0.0641025641025641
"327","south",6,0.9,"x",0.175641025641026
"328","south",6,1,"a",0.230769230769231
"329","south",6,1,"b",0.0769230769230769
"330","south",6,1,"x",0.307692307692308
"331","south",8,0,"a",0.141258884154609
"332","south",8,0,"b",0.203648872276933
"333","south",8,0,"x",0.33087093854857
"334","south",8,0.1,"a",0.150081270588224
"335","south",8,0.1,"b",0.187552858365655
"336","south",8,0.1,"x",0.326137473435484
"337","south",8,0.2,"a",0.155231639794529
"338","south",8,0.2,"b",0.174241432669214
"339","south",8,0.2,"x",0.316842025349938
"340","south",8,0.3,"a",0.150067810556761
"341","south",8,0.3,"b",0.159306197284205
"342","south",8,0.3,"x",0.297750076217035
"343","south",8,0.4,"a",0.161859801044131
"344","south",8,0.4,"b",0.168614047069334
"345","south",8,0.4,"x",0.317361960001577
"346","south",8,0.5,"a",0.151923219230912
"347","south",8,0.5,"b",0.161411838957088
"348","south",8,0.5,"x",0.297227234387868
"349","south",8,0.6,"a",0.173677711177711
"350","south",8,0.6,"b",0.156195193695194
"351","south",8,0.6,"x",0.317385392385392
"352","south",8,0.7,"a",0.166125541125541
"353","south",8,0.7,"b",0.12252331002331
"354","south",8,0.7,"x",0.27204045954046
"355","south",8,0.8,"a",0.161843711843712
"356","south",8,0.8,"b",0.0874264624264625
"357","south",8,0.8,"x",0.236449661449661
"358","south",8,0.9,"a",0.137179487179487
"359","south",8,0.9,"b",0.0833333333333333
"360","south",8,0.9,"x",0.194871794871795
"361","south",8,1,"a",0.230769230769231
"362","south",8,1,"b",0.0769230769230769
"363","south",8,1,"x",0.307692307692308
"364","south",10,0,"a",0.171106023920537
"365","south",10,0,"b",0.216282904910965
"366","south",10,0,"x",0.37335211094853
"367","south",10,0.1,"a",0.183784213694221
"368","south",10,0.1,"b",0.201995530703065
"369","south",10,0.1,"x",0.374283088878891
