"site","events","cooccurrence","proportion","lon","lat","quantile"
"Eastern Beach",18,2,0.111111111111111,27.921824,-33.017976,0
"Eastern Beach",16,2,0.125,27.921824,-33.017976,0.1
"Eastern Beach",14,2,0.142857142857143,27.921824,-33.017976,0.2
"Eastern Beach",12,1,0.0833333333333333,27.921824,-33.017976,0.3
"Eastern Beach",11,1,0.0909090909090909,27.921824,-33.017976,0.4
"Eastern Beach",9,1,0.111111111111111,27.921824,-33.017976,0.5
"Eastern Beach",7,0,0,27.921824,-33.017976,0.6
"Eastern Beach",6,0,0,27.921824,-33.017976,0.7
"Eastern Beach",4,0,0,27.921824,-33.017976,0.8
"Eastern Beach",2,0,0,27.921824,-33.017976,0.9
"Eastern Beach",1,0,0,27.921824,-33.017976,1
"Fish Hoek",41,11,0.268292682926829,18.4359169,-34.13525212,0
"Fish Hoek",37,10,0.27027027027027,18.4359169,-34.13525212,0.1
"Fish Hoek",33,9,0.272727272727273,18.4359169,-34.13525212,0.2
"Fish Hoek",29,8,0.275862068965517,18.4359169,-34.13525212,0.3
"Fish Hoek",25,7,0.28,18.4359169,-34.13525212,0.4
"Fish Hoek",21,7,0.333333333333333,18.4359169,-34.13525212,0.5
"Fish Hoek",16,4,0.25,18.4359169,-34.13525212,0.6
"Fish Hoek",12,3,0.25,18.4359169,-34.13525212,0.7
"Fish Hoek",9,3,0.333333333333333,18.4359169,-34.13525212,0.8
"Fish Hoek",5,2,0.4,18.4359169,-34.13525212,0.9
"Fish Hoek",1,1,1,18.4359169,-34.13525212,1
"Gordons Bay",54,20,0.37037037037037,18.859076,-34.163417,0
"Gordons Bay",48,16,0.333333333333333,18.859076,-34.163417,0.1
"Gordons Bay",43,15,0.348837209302326,18.859076,-34.163417,0.2
"Gordons Bay",38,13,0.342105263157895,18.859076,-34.163417,0.3
"Gordons Bay",32,11,0.34375,18.859076,-34.163417,0.4
"Gordons Bay",27,9,0.333333333333333,18.859076,-34.163417,0.5
"Gordons Bay",22,6,0.272727272727273,18.859076,-34.163417,0.6
"Gordons Bay",16,4,0.25,18.859076,-34.163417,0.7
"Gordons Bay",11,1,0.0909090909090909,18.859076,-34.163417,0.8
"Gordons Bay",6,1,0.166666666666667,18.859076,-34.163417,0.9
"Gordons Bay",1,0,0,18.859076,-34.163417,1
"Hamburg",31,8,0.258064516129032,27.48888889,-33.28611111,0
"Hamburg",28,8,0.285714285714286,27.48888889,-33.28611111,0.1
"Hamburg",25,7,0.28,27.48888889,-33.28611111,0.2
"Hamburg",22,4,0.181818181818182,27.48888889,-33.28611111,0.3
"Hamburg",19,3,0.157894736842105,27.48888889,-33.28611111,0.4
"Hamburg",16,3,0.1875,27.48888889,-33.28611111,0.5
"Hamburg",12,3,0.25,27.48888889,-33.28611111,0.6
"Hamburg",9,3,0.333333333333333,27.48888889,-33.28611111,0.7
"Hamburg",7,2,0.285714285714286,27.48888889,-33.28611111,0.8
"Hamburg",4,1,0.25,27.48888889,-33.28611111,0.9
"Hamburg",1,0,0,27.48888889,-33.28611111,1
"Hermanus",30,10,0.333333333333333,19.25493,-34.414594,0
"Hermanus",27,9,0.333333333333333,19.25493,-34.414594,0.1
"Hermanus",24,7,0.291666666666667,19.25493,-34.414594,0.2
"Hermanus",21,5,0.238095238095238,19.25493,-34.414594,0.3
"Hermanus",18,4,0.222222222222222,19.25493,-34.414594,0.4
"Hermanus",15,2,0.133333333333333,19.25493,-34.414594,0.5
"Hermanus",12,2,0.166666666666667,19.25493,-34.414594,0.6
"Hermanus",9,2,0.222222222222222,19.25493,-34.414594,0.7
"Hermanus",6,1,0.166666666666667,19.25493,-34.414594,0.8
"Hermanus",3,1,0.333333333333333,19.25493,-34.414594,0.9
"Hermanus",1,1,1,19.25493,-34.414594,1
"Hout Bay",31,8,0.258064516129032,18.349713,-34.050165,0
"Hout Bay",28,7,0.25,18.349713,-34.050165,0.1
"Hout Bay",25,6,0.24,18.349713,-34.050165,0.2
"Hout Bay",22,6,0.272727272727273,18.349713,-34.050165,0.3
"Hout Bay",19,5,0.263157894736842,18.349713,-34.050165,0.4
"Hout Bay",16,5,0.3125,18.349713,-34.050165,0.5
"Hout Bay",12,3,0.25,18.349713,-34.050165,0.6
"Hout Bay",9,2,0.222222222222222,18.349713,-34.050165,0.7
"Hout Bay",7,2,0.285714285714286,18.349713,-34.050165,0.8
"Hout Bay",4,1,0.25,18.349713,-34.050165,0.9
"Hout Bay",1,0,0,18.349713,-34.050165,1
"Humewood",26,15,0.576923076923077,25.64723969,-33.97361638,0
"Humewood",23,12,0.521739130434783,25.64723969,-33.97361638,0.1
"Humewood",21,10,0.476190476190476,25.64723969,-33.97361638,0.2
"Humewood",18,8,0.444444444444444,25.64723969,-33.97361638,0.3
"Humewood",16,7,0.4375,25.64723969,-33.97361638,0.4
"Humewood",13,6,0.461538461538462,25.64723969,-33.97361638,0.5
"Humewood",11,3,0.272727272727273,25.64723969,-33.97361638,0.6
"Humewood",8,2,0.25,25.64723969,-33.97361638,0.7
"Humewood",6,2,0.333333333333333,25.64723969,-33.97361638,0.8
"Humewood",3,1,0.333333333333333,25.64723969,-33.97361638,0.9
"Humewood",1,0,0,25.64723969,-33.97361638,1
"Knysna",26,12,0.461538461538462,23.0669444444,-34.0827777778,0
"Knysna",23,10,0.434782608695652,23.0669444444,-34.0827777778,0.1
"Knysna",21,10,0.476190476190476,23.0669444444,-34.0827777778,0.2
"Knysna",18,7,0.388888888888889,23.0669444444,-34.0827777778,0.3
"Knysna",16,7,0.4375,23.0669444444,-34.0827777778,0.4
"Knysna",13,5,0.384615384615385,23.0669444444,-34.0827777778,0.5
"Knysna",11,5,0.454545454545455,23.0669444444,-34.0827777778,0.6
"Knysna",8,4,0.5,23.0669444444,-34.0827777778,0.7
"Knysna",6,2,0.333333333333333,23.0669444444,-34.0827777778,0.8
"Knysna",3,1,0.333333333333333,23.0669444444,-34.0827777778,0.9
"Knysna",1,0,0,23.0669444444,-34.0827777778,1
"Kommetjie",35,9,0.257142857142857,18.32674026,-34.13667297,0
"Kommetjie",31,8,0.258064516129032,18.32674026,-34.13667297,0.1
"Kommetjie",28,8,0.285714285714286,18.32674026,-34.13667297,0.2
"Kommetjie",24,6,0.25,18.32674026,-34.13667297,0.3
"Kommetjie",21,4,0.19047619047619,18.32674026,-34.13667297,0.4
"Kommetjie",18,3,0.166666666666667,18.32674026,-34.13667297,0.5
"Kommetjie",14,1,0.0714285714285714,18.32674026,-34.13667297,0.6
"Kommetjie",11,0,0,18.32674026,-34.13667297,0.7
"Kommetjie",7,0,0,18.32674026,-34.13667297,0.8
"Kommetjie",4,0,0,18.32674026,-34.13667297,0.9
"Kommetjie",1,0,0,18.32674026,-34.13667297,1
"Mossel Bay",26,15,0.576923076923077,22.155,-34.1833333333,0
"Mossel Bay",23,13,0.565217391304348,22.155,-34.1833333333,0.1
"Mossel Bay",21,11,0.523809523809524,22.155,-34.1833333333,0.2
"Mossel Bay",18,9,0.5,22.155,-34.1833333333,0.3
"Mossel Bay",16,9,0.5625,22.155,-34.1833333333,0.4
"Mossel Bay",13,8,0.615384615384615,22.155,-34.1833333333,0.5
"Mossel Bay",11,6,0.545454545454545,22.155,-34.1833333333,0.6
"Mossel Bay",8,3,0.375,22.155,-34.1833333333,0.7
"Mossel Bay",6,1,0.166666666666667,22.155,-34.1833333333,0.8
"Mossel Bay",3,1,0.333333333333333,22.155,-34.1833333333,0.9
"Mossel Bay",1,0,0,22.155,-34.1833333333,1
"Muizenberg",35,5,0.142857142857143,18.48363876,-34.10398726,0
"Muizenberg",31,5,0.161290322580645,18.48363876,-34.10398726,0.1
"Muizenberg",28,3,0.107142857142857,18.48363876,-34.10398726,0.2
"Muizenberg",24,3,0.125,18.48363876,-34.10398726,0.3
"Muizenberg",21,1,0.0476190476190476,18.48363876,-34.10398726,0.4
"Muizenberg",18,1,0.0555555555555556,18.48363876,-34.10398726,0.5
"Muizenberg",14,0,0,18.48363876,-34.10398726,0.6
"Muizenberg",11,0,0,18.48363876,-34.10398726,0.7
"Muizenberg",7,0,0,18.48363876,-34.10398726,0.8
"Muizenberg",4,0,0,18.48363876,-34.10398726,0.9
"Muizenberg",1,0,0,18.48363876,-34.10398726,1
"Nahoon Beach",17,0,0,27.950362,-32.993159,0
"Nahoon Beach",15,0,0,27.950362,-32.993159,0.1
"Nahoon Beach",13,0,0,27.950362,-32.993159,0.2
"Nahoon Beach",12,0,0,27.950362,-32.993159,0.3
"Nahoon Beach",10,0,0,27.950362,-32.993159,0.4
"Nahoon Beach",9,0,0,27.950362,-32.993159,0.5
"Nahoon Beach",7,0,0,27.950362,-32.993159,0.6
"Nahoon Beach",5,0,0,27.950362,-32.993159,0.7
"Nahoon Beach",4,0,0,27.950362,-32.993159,0.8
"Nahoon Beach",2,0,0,27.950362,-32.993159,0.9
"Nahoon Beach",1,0,0,27.950362,-32.993159,1
"Orient Beach",47,5,0.106382978723404,27.91625977,-33.02406514,0
"Orient Beach",42,4,0.0952380952380952,27.91625977,-33.02406514,0.1
"Orient Beach",37,4,0.108108108108108,27.91625977,-33.02406514,0.2
"Orient Beach",33,4,0.121212121212121,27.91625977,-33.02406514,0.3
"Orient Beach",28,4,0.142857142857143,27.91625977,-33.02406514,0.4
"Orient Beach",24,2,0.0833333333333333,27.91625977,-33.02406514,0.5
"Orient Beach",19,2,0.105263157894737,27.91625977,-33.02406514,0.6
"Orient Beach",14,2,0.142857142857143,27.91625977,-33.02406514,0.7
"Orient Beach",10,2,0.2,27.91625977,-33.02406514,0.8
"Orient Beach",5,2,0.4,27.91625977,-33.02406514,0.9
"Orient Beach",1,0,0,27.91625977,-33.02406514,1
"Pollock Beach",20,8,0.4,25.677885,-33.99125,0
"Pollock Beach",18,7,0.388888888888889,25.677885,-33.99125,0.1
"Pollock Beach",16,5,0.3125,25.677885,-33.99125,0.2
"Pollock Beach",14,4,0.285714285714286,25.677885,-33.99125,0.3
"Pollock Beach",12,4,0.333333333333333,25.677885,-33.99125,0.4
"Pollock Beach",10,2,0.2,25.677885,-33.99125,0.5
"Pollock Beach",8,2,0.25,25.677885,-33.99125,0.6
"Pollock Beach",6,1,0.166666666666667,25.677885,-33.99125,0.7
"Pollock Beach",4,0,0,25.677885,-33.99125,0.8
"Pollock Beach",2,0,0,25.677885,-33.99125,0.9
"Pollock Beach",1,0,0,25.677885,-33.99125,1
"Port Nolloth",59,21,0.355932203389831,16.86710358,-29.25240668,0
"Port Nolloth",53,19,0.358490566037736,16.86710358,-29.25240668,0.1
"Port Nolloth",47,15,0.319148936170213,16.86710358,-29.25240668,0.2
"Port Nolloth",40,13,0.325,16.86710358,-29.25240668,0.3
"Port Nolloth",35,12,0.342857142857143,16.86710358,-29.25240668,0.4
"Port Nolloth",30,10,0.333333333333333,16.86710358,-29.25240668,0.5
"Port Nolloth",24,7,0.291666666666667,16.86710358,-29.25240668,0.6
"Port Nolloth",18,3,0.166666666666667,16.86710358,-29.25240668,0.7
"Port Nolloth",12,3,0.25,16.86710358,-29.25240668,0.8
"Port Nolloth",6,1,0.166666666666667,16.86710358,-29.25240668,0.9
"Port Nolloth",1,0,0,16.86710358,-29.25240668,1
"Sea Point",57,14,0.245614035087719,18.382165,-33.918469,0
"Sea Point",51,10,0.196078431372549,18.382165,-33.918469,0.1
"Sea Point",45,9,0.2,18.382165,-33.918469,0.2
"Sea Point",40,9,0.225,18.382165,-33.918469,0.3
"Sea Point",34,6,0.176470588235294,18.382165,-33.918469,0.4
"Sea Point",29,5,0.172413793103448,18.382165,-33.918469,0.5
"Sea Point",23,5,0.217391304347826,18.382165,-33.918469,0.6
"Sea Point",17,3,0.176470588235294,18.382165,-33.918469,0.7
"Sea Point",12,1,0.0833333333333333,18.382165,-33.918469,0.8
"Sea Point",6,0,0,18.382165,-33.918469,0.9
"Sea Point",1,0,0,18.382165,-33.918469,1
"Sodwana",33,0,0,32.7333333333,-27.4247222222,0
"Sodwana",29,0,0,32.7333333333,-27.4247222222,0.1
"Sodwana",26,0,0,32.7333333333,-27.4247222222,0.2
"Sodwana",23,0,0,32.7333333333,-27.4247222222,0.3
"Sodwana",20,0,0,32.7333333333,-27.4247222222,0.4
"Sodwana",17,0,0,32.7333333333,-27.4247222222,0.5
"Sodwana",13,0,0,32.7333333333,-27.4247222222,0.6
"Sodwana",10,0,0,32.7333333333,-27.4247222222,0.7
"Sodwana",7,0,0,32.7333333333,-27.4247222222,0.8
"Sodwana",4,0,0,32.7333333333,-27.4247222222,0.9
"Sodwana",1,0,0,32.7333333333,-27.4247222222,1
"Storms River Mouth",29,19,0.655172413793103,23.899327,-34.024482,0
"Storms River Mouth",26,17,0.653846153846154,23.899327,-34.024482,0.1
"Storms River Mouth",23,13,0.565217391304348,23.899327,-34.024482,0.2
"Storms River Mouth",20,11,0.55,23.899327,-34.024482,0.3
"Storms River Mouth",17,8,0.470588235294118,23.899327,-34.024482,0.4
"Storms River Mouth",15,6,0.4,23.899327,-34.024482,0.5
"Storms River Mouth",12,5,0.416666666666667,23.899327,-34.024482,0.6
"Storms River Mouth",9,2,0.222222222222222,23.899327,-34.024482,0.7
"Storms River Mouth",6,2,0.333333333333333,23.899327,-34.024482,0.8
"Storms River Mouth",3,1,0.333333333333333,23.899327,-34.024482,0.9
"Storms River Mouth",1,0,0,23.899327,-34.024482,1
"Tsitsikamma East",36,27,0.75,23.9105555556,-34.0269444444,0
"Tsitsikamma East",32,22,0.6875,23.9105555556,-34.0269444444,0.1
"Tsitsikamma East",29,18,0.620689655172414,23.9105555556,-34.0269444444,0.2
"Tsitsikamma East",25,15,0.6,23.9105555556,-34.0269444444,0.3
"Tsitsikamma East",22,12,0.545454545454545,23.9105555556,-34.0269444444,0.4
"Tsitsikamma East",18,9,0.5,23.9105555556,-34.0269444444,0.5
"Tsitsikamma East",14,7,0.5,23.9105555556,-34.0269444444,0.6
"Tsitsikamma East",11,5,0.454545454545455,23.9105555556,-34.0269444444,0.7
"Tsitsikamma East",8,3,0.375,23.9105555556,-34.0269444444,0.8
"Tsitsikamma East",4,2,0.5,23.9105555556,-34.0269444444,0.9
"Tsitsikamma East",1,0,0,23.9105555556,-34.0269444444,1
"Tsitsikamma West",25,14,0.56,23.64566803,-33.98066281,0
"Tsitsikamma West",22,12,0.545454545454545,23.64566803,-33.98066281,0.1
"Tsitsikamma West",20,10,0.5,23.64566803,-33.98066281,0.2
"Tsitsikamma West",17,9,0.529411764705882,23.64566803,-33.98066281,0.3
"Tsitsikamma West",15,8,0.533333333333333,23.64566803,-33.98066281,0.4
"Tsitsikamma West",13,6,0.461538461538462,23.64566803,-33.98066281,0.5
"Tsitsikamma West",10,5,0.5,23.64566803,-33.98066281,0.6
"Tsitsikamma West",8,4,0.5,23.64566803,-33.98066281,0.7
"Tsitsikamma West",5,1,0.2,23.64566803,-33.98066281,0.8
"Tsitsikamma West",3,1,0.333333333333333,23.64566803,-33.98066281,0.9
"Tsitsikamma West",1,0,0,23.64566803,-33.98066281,1
"Ystervarkpunt",22,12,0.545454545454545,21.73972222,-34.40277778,0
"Ystervarkpunt",19,12,0.631578947368421,21.73972222,-34.40277778,0.1
"Ystervarkpunt",17,11,0.647058823529412,21.73972222,-34.40277778,0.2
"Ystervarkpunt",15,10,0.666666666666667,21.73972222,-34.40277778,0.3
"Ystervarkpunt",13,9,0.692307692307692,21.73972222,-34.40277778,0.4
"Ystervarkpunt",11,8,0.727272727272727,21.73972222,-34.40277778,0.5
"Ystervarkpunt",9,7,0.777777777777778,21.73972222,-34.40277778,0.6
"Ystervarkpunt",7,6,0.857142857142857,21.73972222,-34.40277778,0.7
"Ystervarkpunt",5,3,0.6,21.73972222,-34.40277778,0.8
"Ystervarkpunt",3,2,0.666666666666667,21.73972222,-34.40277778,0.9
"Ystervarkpunt",1,0,0,21.73972222,-34.40277778,1
